ID_MARKET,LM_TNAME,LM_ENAME,CODE_ID,GROUP_ID,GROUP_TNAM,GROUP_ENAM,ADMIN_CODE,TAM_CODE,TAM_TNAME,TAM_ENAME,AMP_CODE,AMP_TNAME,AMP_ENAME,PROV_CODE,PROV_TNAME,PROV_ENAME,REG_CODE,REG_TNAME,REG_ENAME,POSTCOD,CNTRY_CODE,CNTRY_TNAM,CNTRY_ENAM,LAT,LONG
12118,ตลาดพญาไท,Phayathai Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.760649,100.555525
12119,ตลาดกรุณา,Karuna Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.767205,100.557348
12120,ตลาดยอดขวัญ,Yod Khwan Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.772984,100.564992
12121,ตลาดห้วยขวาง,Huai Khwang Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.77776,100.567581
12122,ตลาดเกียตริทรงชัย,Kiat Song Chai Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.778721,100.570538
42822,ตลาดอยู่เจริญ,Yu Charoen Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.756785,100.563557
70840,ตลาดกลางบางกระดี่,Talat Klang Bang Kradi,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.766119,100.56946
70900,ตลาดศิริชัย,Talat Siri Chai,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.760419,100.549923
70901,ตลาดศูนย์การค้าตลาดรุ่งเจริญ,Talat Sunkankha Talat Rung Charoen,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.758831,100.558954
70870,ตลาดพระเครื่องวงเวียนเล็ก,Talat Phrakhrueang Wongwian Lek,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.760924,100.555639
